# 辞書 — 読み（歴史的仮名遣ひ）→ 表記（焼き付け成果物・テキスト）
#
# ここが**唯一の出所**で、Rust の表は scripts/gen_jisho_tables.py がこの一つの
# ファイルから起こす（docs/ime/artifacts.md）。**テキストで持つ**のは、
# git diff が読めることに賭けてゐるからである——辞書は人が眺めて直す成果物で、
# 「なぜ候補が変はつたか」が差分で分かる必要がある。
#
# 形式: 読み<TAB>表記<TAB>度数<TAB>品詞。品詞は 自（自立語）／付（付属語）の二種のみ。
# 文節は「自立語 ひとつ ＋ 付属語 いくつか」であり、この二分で分割が決まる
# （core/src/bunsetsu.rs）。細かい品詞は分割に効かないので持たない（発明しない）。
#
# 表記は**新字体**で持つ。旧字体は確定のときに核が機械で定める（core/src/kyuji.rs）ので、
# ここで二重に持つと二つの表がずれる（天気 と 天氣 の両方を抱へることになる）。
#
# 並びは「読み昇順・度数降順・表記昇順」に正規化されてゐる。
# scripts/gen_jisho_tables.py がこのファイル自身を書き直すので、
# 手で足した行が順序を崩しても CI の鮮度ゲートが拾ふ。
#
# meta: source=seed entries=232 books=0
その	その	900	自
そら	空	420	自
ぞ	ぞ	800	付
たかき	高き	300	自
たし	たし	500	付
たつ	立つ	420	自
たび	旅	240	自
たり	たり	1800	付
だに	だに	200	付
ち	地	300	自
ちから	力	340	自
ちち	父	320	自
ちひさき	小さき	240	自
つき	月	620	自
つつ	つつ	800	付
つひに	遂に	280	自
つま	妻	220	自
つゆ	露	200	自
て	て	4600	付
て	手	500	自
てら	寺	260	自
てん	天	340	自
てんき	天気	300	自
で	で	3800	付
と	と	5000	付
とき	時	900	自
ところ	所	420	自
とし	年	400	自
とも	とも	500	付
とも	友	260	自
とり	鳥	300	自
ど	ど	700	付
ども	ども	600	付
な	名	380	自
ないし	無し	260	自
なか	中	500	自
ながき	長き	260	自
ながら	ながら	600	付
なさけ	情	200	自
なす	為す	300	自
なつ	夏	320	自
など	など	500	付
なほ	猶	380	自
なむ	なむ	500	付
なり	なり	2400	付
なり	成り	900	自
なる	成る	800	自
なんぢ	汝	200	自
に	に	7000	付
にし	西	200	自
にほん	日本	260	自
ぬ	ぬ	1600	付
の	の	9000	付
のち	後	380	自
のみ	のみ	400	付
は	は	6500	付
はな	花	560	自
はな	鼻	120	自
はは	母	320	自
はやき	早き	220	自
はやし	林	180	自
はる	春	380	自
ば	ば	1500	付
ばあひ	場合	200	自
ひ	日	800	自
ひかり	光	300	自
ひがし	東	200	自
ひと	人	1200	自
ひる	昼	300	自
ふかき	深き	260	自
ふで	筆	220	自
ふな	船	120	自
ふね	船	220	自
ふみ	文	300	自
ふゆ	冬	300	自
へ	へ	1100	付
べし	べし	900	付
ほし	星	250	自
ほど	程	380	自
ほん	本	260	自
まこと	誠	260	自
まじ	まじ	400	付
また	又	420	自
まだ	未だ	300	自
まち	町	300	自
まつ	待つ	300	自
まで	まで	1200	付
まへ	前	420	自
みえ	見え	300	自
みじかき	短き	180	自
みち	道	500	自
みづ	水	480	自
みなみ	南	180	自
みみ	耳	220	自
みやこ	都	300	自
みる	見る	800	自
む	む	1300	付
むかし	昔	420	自
むし	虫	200	自
むら	村	280	自
め	目	400	自
も	も	4000	付
もの	者	800	自
もの	物	700	自
ものの	ものの	250	付
もり	森	200	自
や	や	2200	付
やがて	やがて	300	自
やま	山	700	自
やまと	大和	180	自
ゆき	雪	380	自
ゆく	行く	700	自
ゆふ	夕	300	自
ゆめ	夢	300	自
ゆゑ	故	300	自
よ	世	600	自
よ	夜	300	自
よき	良き	700	自
よし	良し	620	自
よむ	読む	380	自
より	より	1400	付
よる	夜	520	自
らむ	らむ	700	付
らる	らる	600	付
る	る	2000	付
わざ	業	200	自
わらは	童	140	自
われ	我	620	自
ゐなか	田舎	160	自
ゐる	居る	480	自
を	を	6800	付
をとこ	男	420	自
をり	居り	400	自
をんな	女	420	自
